ID,Zip Code,Total Population,Active Cases,Total Confirmed,Deaths
1,77002,13571,60,3994,23
2,77003,9876,44,2512,31
3,77004,36959,131,5443,40
4,77005,28552,280,4298,11
5,77006,22632,79,3934,9
6,77007,37492,169,8697,23
7,77008,34184,208,6972,37
8,77009,36260,262,8360,102
9,77010,862,5,108,5
10,77011,17803,68,4585,83
11,77012,19468,81,4676,59
12,77013,20706,31,3285,30
13,77014,36455,17,5385,59
14,77015,56155,83,11356,90
15,77016,30184,191,6479,109
16,77017,32720,77,7789,95
17,77018,28235,88,5277,42
18,77019,21319,63,4287,12
19,77020,25749,80,5848,105
20,77021,26655,106,5197,63
21,77022,28277,101,6360,115
22,77023,29074,170,6675,80
23,77024,38379,221,5980,39
24,77025,28955,96,4620,25
25,77026,22380,133,4957,76
26,77027,16962,69,3190,12
27,77028,16721,77,4012,63
28,77029,18090,21,4045,66
29,77030,10963,49,2555,9
30,77031,17536,70,2964,27
31,77032,14093,57,3743,30
32,77033,29903,116,5961,74
33,77034,40532,65,8691,89
34,77035,38524,121,6767,74
35,77036,76831,608,12436,132
36,77037,20463,29,4152,39
37,77038,31365,37,6471,61
38,77039,28385,20,5603,65
39,77040,48290,92,8444,75
40,77041,34885,90,6602,40
41,77042,42515,1030,7348,42
42,77043,25447,128,5095,56
43,77044,45885,136,11013,65
44,77045,37279,94,7678,90
45,77046,970,7,316,5
46,77047,29693,51,6946,48
47,77048,17721,39,4424,39
48,77049,35230,21,7580,76
49,77050,4999,15,810,14
50,77051,17052,55,3589,36
51,77053,30938,48,4159,51
52,77054,22704,82,4467,20
53,77055,44680,151,8369,120
54,77056,21807,130,3877,20
55,77057,41503,296,6786,50
56,77058,16911,21,3073,31
57,77059,16944,53,2691,11
58,77060,44828,209,8337,82
59,77061,25607,72,4859,65
60,77062,26358,85,4480,43
61,77063,38961,1022,7416,79
62,77064,49790,61,8888,78
63,77065,38265,51,6466,26
64,77066,36703,24,5855,35
65,77067,34575,45,5528,47
66,77068,10991,23,1985,14
67,77069,18622,25,3121,22
68,77070,53239,90,9728,50
69,77071,28558,82,5365,47
70,77072,61818,518,10818,140
71,77073,41745,50,9035,47
72,77074,41386,443,7818,85
73,77075,43933,246,9374,75
74,77076,34985,80,7486,104
75,77077,58131,426,10310,66
76,77078,15411,44,3347,44
77,77079,33768,211,6196,26
78,77080,45832,151,8637,98
79,77081,52078,163,7875,67
80,77082,55527,350,9582,104
81,77083,79996,64,7745,90
82,77084,107700,113,22236,101
83,77085,18274,59,4550,33
84,77086,29178,24,5619,34
85,77087,36869,247,8920,125
86,77088,57003,99,11117,137
87,77089,53866,88,12635,130
88,77090,39381,252,7895,64
89,77091,27078,65,6114,74
90,77092,39035,91,7012,68
91,77093,46875,185,10515,127
92,77094,9710,14,1363,5
93,77095,71878,40,12692,78
94,77096,33769,122,6054,40
95,77098,13549,70,2676,12
96,77099,53357,234,10181,98
97,77336,12424,11,1903,26
98,77338,42787,26,9150,124
99,77339,41205,33,4361,71
100,77345,28804,20,2940,23
101,77346,65967,64,13098,88
102,77354,36679,5,11,5
103,77355,28074,5,7,5
104,77357,25359,5,31,5
105,77362,5960,5,8,5
106,77365,34781,5,108,5
107,77373,59093,40,12235,84
108,77375,52785,56,11663,87
109,77377,37016,19,6139,41
110,77379,79986,57,14267,56
111,77380,25879,5,38,5
112,77381,36507,5,8,5
113,77382,39861,5,5,5
114,77386,54802,5,42,5
115,77388,49487,42,9089,32
116,77389,35349,34,7743,21
117,77396,57775,32,12437,80
118,77401,19283,49,2413,14
119,77407,51142,5,132,5
120,77429,88344,72,14945,45
121,77433,82257,98,18044,63
122,77447,15219,14,2770,7
123,77449,122814,92,25882,180
124,77450,73683,42,7611,64
125,77477,36563,5,557,6
126,77484,11059,5,496,5
127,77489,36548,20,1749,8
128,77493,32257,51,8928,89
129,77494,114989,11,1470,20
130,77498,51505,5,86,5
131,77502,38272,17,8828,66
132,77503,25738,11,5509,57
133,77504,23875,10,4847,71
134,77505,24022,21,4972,39
135,77506,38568,9,7326,53
136,77507,0,5,126,5
137,77520,35970,15,7263,130
138,77521,59722,35,10972,105
139,77523,22101,5,233,5
140,77530,32922,17,6836,43
141,77532,29608,30,5864,74
142,77535,34291,5,11,5
143,77536,33015,26,7305,47
144,77546,53320,5,2067,27
145,77547,10028,5,2149,24
146,77562,10380,5,1678,25
147,77565,7945,5,5,5
148,77571,37360,31,7406,61
149,77573,86926,5,30,5
150,77581,49612,5,204,14
151,77584,87986,5,142,5
152,77586,22527,27,3975,23
153,77587,17040,10,3632,33
154,77598,26473,23,4563,43
